loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS_CLASS1,CLASS_DEFAULT
loadoutPrimary,famas,cheytac,cheytac,m21,wa2000,m4,mp5k,rpd,cheytac,riotshield,m4,
loadoutPrimaryAttachment,gl,fmj,fmj,heartbeat,fmj,none,fmj,none,fmj,none,fmj,
loadoutPrimaryAttachment2,eotech,none,none,fmj,none,none,none,none,none,none,none,
loadoutPrimaryCamo,desert,desert,desert,desert,desert,none,none,none,none,
loadoutSecondary,cheytac,kriss,beretta393,glock,striker,usp,spas12,at4,pp2000,pp2000,usp,
loadoutSecondaryAttachment,fmj,silencer,reflex,silencer,fmj,none,none,none,none,none,none,
loadoutSecondaryAttachment2,heartbeat,thermal,none,akimbo,silencer,none,none,none,none,none,none,
loadoutSecondaryCamo,desert,desert,none,none,desert,none,none,desert,none,none,none,
loadoutEquipment,throwingknife_mp,throwingknife_mp,throwingknife_mp,throwingknife_mp,throwingknife_mp,throwingknife_mp,throwingknife_mp,throwingknife_mp,frag_grenade_mp,frag_grenade_mp,frag_grenade_mp,
loadoutPerk1,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_fastreload,specialty_marathon,specialty_fastreload,
loadoutPerk2,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_bulletdamage,specialty_lightweight,specialty_bulletdamage,
loadoutPerk3,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,specialty_extendedmelee,
loadoutOffHand,concussion_grenade,concussion_grenade,concussion_grenade,concussion_grenade,concussion_grenade,concussion_grenade,flash_grenade,flash_grenade,smoke_grenade,flash_grenade,flash_grenade,
loadoutStreak1,uav,uav,uav,uav,uav,uav,uav,uav,uav,uav,uav,
loadoutStreak2,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,predator_missile,
loadoutStreak3,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,helicopter,
loadoutDeathStreak,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,specialty_copycat,
